Date,close,vol,symbol
2024-09-06,249.63,2406225,UNP
2024-09-09,251.11,2162452,UNP
2024-09-10,252.58,1694658,UNP
2024-09-11,247.5,2372194,UNP
2024-09-12,248.89,1867980,UNP
2024-09-13,249.12,2267787,UNP
2024-09-16,252.43,1651114,UNP
2024-09-17,253.55,1640445,UNP
2024-09-18,251.2,1568183,UNP
2024-09-19,248.44,3406678,UNP
2024-09-20,245.39,6802799,UNP
2024-09-23,244.0,2740567,UNP
2024-09-24,248.96,2772711,UNP
2024-09-25,245.5,2347258,UNP
2024-09-26,243.23,2398738,UNP
2024-09-27,244.22,1954544,UNP
2024-09-30,246.48,2923206,UNP
2024-10-01,245.55,1925000,UNP
2024-10-02,243.35,2568262,UNP
2024-10-03,240.63,1990156,UNP
2024-10-04,238.86,2137949,UNP
2024-10-07,236.87,1684066,UNP
2024-10-08,237.56,1783213,UNP
2024-10-09,237.68,2046736,UNP
2024-10-10,238.82,1900711,UNP
2024-10-11,242.31,1663835,UNP
2024-10-14,245.27,1735882,UNP
2024-10-15,245.79,1858037,UNP
2024-10-16,248.1,1500133,UNP
2024-10-17,241.72,2177924,UNP
2024-10-18,244.1,2866129,UNP
2024-10-21,240.35,1547906,UNP
2024-10-22,241.45,1818425,UNP
2024-10-23,241.35,2156278,UNP
2024-10-24,230.75,5181142,UNP
2024-10-25,230.3,2952224,UNP
2024-10-28,231.98,2492981,UNP
2024-10-29,231.99,3682097,UNP
2024-10-30,232.17,3079425,UNP
2024-10-31,232.07,2594786,UNP
2024-11-01,232.69,2653306,UNP
2024-11-04,229.91,2195620,UNP
2024-11-05,233.87,1483661,UNP
2024-11-06,248.49,5318739,UNP
2024-11-07,242.56,2921316,UNP
2024-11-08,241.49,2209258,UNP
2024-11-11,241.95,3299153,UNP
2024-11-12,238.91,2362867,UNP
2024-11-13,240.41,2564021,UNP
2024-11-14,235.58,2766157,UNP
2024-11-15,235.57,2068472,UNP
2024-11-18,234.41,1401392,UNP
2024-11-19,233.29,1774322,UNP
2024-11-20,233.56,1158041,UNP
2024-11-21,239.02,3490763,UNP
2024-11-22,242.39,2664897,UNP
2024-11-25,249.32,4224412,UNP
2024-11-26,245.63,3305335,UNP
2024-11-27,245.23,2040830,UNP
2024-11-29,244.66,1484850,UNP
2024-12-02,240.78,3100001,UNP
2024-12-03,236.99,4196902,UNP
2024-12-04,235.0,3264946,UNP
2024-12-05,234.63,2011403,UNP
2024-12-06,233.57,2585152,UNP
2024-12-09,233.54,3095763,UNP
2024-12-10,237.09,3092573,UNP
2024-12-11,233.78,2862670,UNP
2024-12-12,233.71,2242668,UNP
2024-12-13,234.98,2715604,UNP
2024-12-16,232.89,2839533,UNP
2024-12-17,229.88,3642447,UNP
