Date,close,vol,symbol
2024-09-06,41.15,18100349,VZ
2024-09-09,42.73,27850290,VZ
2024-09-10,43.65,36980411,VZ
2024-09-11,43.8,22395462,VZ
2024-09-12,43.86,18399827,VZ
2024-09-13,44.43,20029688,VZ
2024-09-16,45.0,24714535,VZ
2024-09-17,44.08,18769603,VZ
2024-09-18,43.88,16897926,VZ
2024-09-19,43.94,23097155,VZ
2024-09-20,44.33,52671859,VZ
2024-09-23,44.26,18083217,VZ
2024-09-24,44.66,15153967,VZ
2024-09-25,44.55,21990145,VZ
2024-09-26,44.62,15779600,VZ
2024-09-27,44.89,15659277,VZ
2024-09-30,44.91,13516985,VZ
2024-10-01,45.21,17536350,VZ
2024-10-02,45.05,12040785,VZ
2024-10-03,44.52,12258416,VZ
2024-10-04,44.18,14537280,VZ
2024-10-07,43.84,12884971,VZ
2024-10-08,44.01,10855107,VZ
2024-10-09,44.11,12614166,VZ
2024-10-10,42.95,12352803,VZ
2024-10-11,43.0,10658662,VZ
2024-10-14,43.19,9923489,VZ
2024-10-15,43.74,15444457,VZ
2024-10-16,43.91,9458993,VZ
2024-10-17,43.85,10539459,VZ
2024-10-18,43.99,13058370,VZ
2024-10-21,43.7,18760023,VZ
2024-10-22,41.5,42576288,VZ
2024-10-23,42.86,27174732,VZ
2024-10-24,41.86,23506361,VZ
2024-10-25,41.38,19717360,VZ
2024-10-28,41.62,13574976,VZ
2024-10-29,41.33,15072322,VZ
2024-10-30,41.28,16372594,VZ
2024-10-31,42.13,31077938,VZ
2024-11-01,41.36,16682363,VZ
2024-11-04,41.06,14760870,VZ
2024-11-05,41.26,12322777,VZ
2024-11-06,41.16,21957071,VZ
2024-11-07,40.57,24225531,VZ
2024-11-08,40.48,21305883,VZ
2024-11-11,40.44,17116413,VZ
2024-11-12,40.4,16984576,VZ
2024-11-13,41.14,19953509,VZ
2024-11-14,40.87,13636571,VZ
2024-11-15,41.65,21482452,VZ
2024-11-18,42.25,17409010,VZ
2024-11-19,41.93,10520611,VZ
2024-11-20,42.22,14706508,VZ
2024-11-21,42.5,12534057,VZ
2024-11-22,43.15,17017421,VZ
2024-11-25,43.98,28365883,VZ
2024-11-26,44.37,17247031,VZ
2024-11-27,44.38,12372354,VZ
2024-11-29,44.34,9023148,VZ
2024-12-02,43.85,12783890,VZ
2024-12-03,43.83,15415896,VZ
2024-12-04,42.52,21431616,VZ
2024-12-05,42.55,16176866,VZ
2024-12-06,42.37,15685870,VZ
2024-12-09,42.36,15570295,VZ
2024-12-10,42.3,16337172,VZ
2024-12-11,41.99,13986063,VZ
2024-12-12,42.08,11232270,VZ
2024-12-13,42.28,13360403,VZ
2024-12-16,40.88,30228310,VZ
2024-12-17,40.78,15374043,VZ
2024-12-18,40.24,19199573,VZ
2024-12-19,39.97,17859081,VZ
2024-12-20,39.93,47590856,VZ
2024-12-23,39.94,21292339,VZ
2024-12-24,39.8,11712157,VZ
2024-12-26,39.96,12953131,VZ
2024-12-27,39.92,15168115,VZ
2024-12-30,39.6,15671981,VZ
2024-12-31,39.99,13549928,VZ
2025-01-02,40.21,22470163,VZ
2025-01-03,40.26,15229858,VZ
2025-01-06,39.61,27115031,VZ
2025-01-07,38.92,31517083,VZ
2025-01-08,38.94,22901604,VZ
2025-01-10,37.81,27338366,VZ
2025-01-13,38.12,19734037,VZ
2025-01-14,38.28,15740091,VZ
2025-01-15,38.18,27817068,VZ
2025-01-16,38.34,24678306,VZ
2025-01-17,38.78,24082097,VZ
2025-01-21,39.02,25717600,VZ
2025-01-22,38.95,31488927,VZ
2025-01-23,39.18,25153547,VZ
2025-01-24,39.54,37123879,VZ
2025-01-27,40.64,35520268,VZ
2025-01-28,40.4,21031887,VZ
2025-01-29,40.28,24238081,VZ
2025-01-30,39.47,27913473,VZ
2025-01-31,39.39,45185371,VZ
2025-02-03,39.98,27967116,VZ
2025-02-04,39.81,19190176,VZ
2025-02-05,40.13,16830456,VZ
2025-02-06,39.94,15370555,VZ
2025-02-07,39.88,15754822,VZ
2025-02-10,39.95,16737456,VZ
2025-02-11,40.49,15182650,VZ
2025-02-12,40.53,14440250,VZ
2025-02-13,41.04,17056684,VZ
2025-02-14,40.99,12438162,VZ
2025-02-18,41.2,16357712,VZ
2025-02-19,42.01,21039592,VZ
2025-02-20,42.49,19771748,VZ
2025-02-21,42.76,25465139,VZ
2025-02-24,43.32,27560550,VZ
2025-02-25,43.71,24356924,VZ
2025-02-26,43.18,18651414,VZ
2025-02-27,43.27,19212253,VZ
2025-02-28,43.1,25197534,VZ
2025-03-03,43.87,22333981,VZ
2025-03-04,42.87,32627504,VZ
2025-03-05,42.84,18038372,VZ
2025-03-06,44.23,22845898,VZ
2025-03-07,46.06,44992096,VZ
2025-03-10,46.49,39836986,VZ
2025-03-11,43.43,64142308,VZ
2025-03-12,42.59,49650796,VZ
2025-03-13,43.71,30708583,VZ
2025-03-14,43.57,17432087,VZ
2025-03-17,43.65,15560924,VZ
2025-03-18,44.23,16254396,VZ
2025-03-19,43.94,14373277,VZ
2025-03-20,43.75,18109265,VZ
2025-03-21,43.99,68445518,VZ
2025-03-24,43.56,18050016,VZ
2025-03-25,43.49,21483244,VZ
2025-03-26,44.18,21698407,VZ
2025-03-27,44.96,21905160,VZ
2025-03-28,44.93,19530559,VZ
2025-03-31,45.36,27786946,VZ
2025-04-01,45.38,15710799,VZ
2025-04-02,44.74,21924094,VZ
2025-04-03,45.62,30474829,VZ
2025-04-04,43.03,42663375,VZ
2025-04-07,42.58,38811994,VZ
2025-04-08,42.17,29790184,VZ
2025-04-09,42.89,49426024,VZ
2025-04-10,42.92,36501740,VZ
