Date,close,vol,symbol
2024-09-06,62.91,4731757,XEL
2024-09-09,63.49,2687848,XEL
2024-09-10,63.84,4935062,XEL
2024-09-11,63.85,4352787,XEL
2024-09-12,63.89,4886474,XEL
2024-09-13,63.84,2961647,XEL
2024-09-16,64.56,3933171,XEL
2024-09-17,64.5,3519814,XEL
2024-09-18,64.36,5170966,XEL
2024-09-19,64.06,4861174,XEL
2024-09-20,64.13,7665855,XEL
2024-09-23,63.96,2006153,XEL
2024-09-24,64.17,4888058,XEL
2024-09-25,64.19,2882874,XEL
2024-09-26,63.98,2031629,XEL
2024-09-27,64.57,1912936,XEL
2024-09-30,65.3,3139754,XEL
2024-10-01,65.32,2621287,XEL
2024-10-02,65.15,1940369,XEL
2024-10-03,64.4,1818293,XEL
2024-10-04,63.73,3052914,XEL
2024-10-07,63.01,4288920,XEL
2024-10-08,62.93,2743995,XEL
2024-10-09,62.58,1867470,XEL
2024-10-10,62.16,2277396,XEL
2024-10-11,62.31,2822159,XEL
2024-10-14,63.02,3148015,XEL
2024-10-15,63.43,3413211,XEL
2024-10-16,64.01,2590483,XEL
2024-10-17,63.25,3382558,XEL
2024-10-18,64.07,3651774,XEL
2024-10-21,63.43,2178848,XEL
2024-10-22,63.68,2244157,XEL
2024-10-23,64.32,2338233,XEL
2024-10-24,65.11,4941016,XEL
2024-10-25,64.46,7028049,XEL
2024-10-28,64.48,4165714,XEL
2024-10-29,63.34,6475726,XEL
2024-10-30,63.05,2894626,XEL
2024-10-31,66.81,6805346,XEL
2024-11-01,66.69,6860953,XEL
2024-11-04,65.82,12450772,XEL
2024-11-05,66.33,4713540,XEL
2024-11-06,66.49,5057919,XEL
2024-11-07,66.2,4185826,XEL
2024-11-08,67.37,3859144,XEL
2024-11-11,68.65,5555993,XEL
2024-11-12,68.61,5337499,XEL
2024-11-13,68.65,4068272,XEL
2024-11-14,68.91,3347527,XEL
2024-11-15,69.46,4018542,XEL
2024-11-18,69.94,2598128,XEL
2024-11-19,69.57,2268127,XEL
2024-11-20,70.05,2439601,XEL
2024-11-21,71.38,2645011,XEL
2024-11-22,71.35,2065350,XEL
2024-11-25,71.6,3122602,XEL
2024-11-26,71.87,3155878,XEL
2024-11-27,72.92,2528394,XEL
2024-11-29,72.56,1383042,XEL
2024-12-02,71.2,2718032,XEL
2024-12-03,71.0,2672529,XEL
2024-12-04,70.72,3233348,XEL
2024-12-05,70.86,2518525,XEL
2024-12-06,69.74,3432767,XEL
2024-12-09,69.11,2760687,XEL
2024-12-10,69.15,2587458,XEL
2024-12-11,68.36,3013003,XEL
2024-12-12,68.49,2575276,XEL
2024-12-13,68.12,2253986,XEL
2024-12-16,67.66,4244692,XEL
2024-12-17,68.08,6459715,XEL
2024-12-18,66.4,5884925,XEL
2024-12-19,66.65,4607989,XEL
2024-12-20,67.4,13060777,XEL
2024-12-23,67.72,2535653,XEL
2024-12-24,68.21,943915,XEL
2024-12-26,68.18,1394942,XEL
2024-12-27,68.14,2014955,XEL
2024-12-30,67.59,2642910,XEL
2024-12-31,67.52,2143881,XEL
2025-01-02,66.86,2817170,XEL
2025-01-03,66.69,3157381,XEL
2025-01-06,65.14,3657563,XEL
2025-01-07,65.64,3017834,XEL
2025-01-08,66.39,3714749,XEL
2025-01-10,63.37,5441065,XEL
2025-01-13,63.62,3114553,XEL
2025-01-14,64.08,5952823,XEL
2025-01-15,64.94,2655622,XEL
2025-01-16,66.2,3024125,XEL
2025-01-17,66.72,3235025,XEL
2025-01-21,67.68,4147485,XEL
2025-01-22,66.98,3746056,XEL
2025-01-23,66.06,3928593,XEL
2025-01-24,66.61,3110246,XEL
2025-01-27,67.99,4142654,XEL
2025-01-28,66.43,3043657,XEL
2025-01-29,66.07,2447363,XEL
2025-01-30,66.86,2704356,XEL
2025-01-31,67.2,6442305,XEL
2025-02-03,67.75,2916894,XEL
2025-02-04,67.32,2716439,XEL
2025-02-05,67.95,2941056,XEL
2025-02-06,67.12,5611554,XEL
2025-02-07,66.6,3797802,XEL
2025-02-10,66.88,2638335,XEL
2025-02-11,67.19,2284376,XEL
2025-02-12,67.4,2706184,XEL
2025-02-13,68.4,2433124,XEL
2025-02-14,68.61,4167843,XEL
2025-02-18,68.54,3177198,XEL
2025-02-19,69.07,2425334,XEL
2025-02-20,69.32,1878416,XEL
2025-02-21,69.94,2379446,XEL
2025-02-24,70.78,3010279,XEL
2025-02-25,70.45,3713403,XEL
2025-02-26,69.97,3907881,XEL
2025-02-27,70.76,4553494,XEL
2025-02-28,72.1,7085490,XEL
2025-03-03,71.9,5015622,XEL
2025-03-04,70.03,4212130,XEL
2025-03-05,68.73,6974979,XEL
2025-03-06,67.66,5262259,XEL
2025-03-07,68.0,3849597,XEL
2025-03-10,69.35,4830462,XEL
2025-03-11,68.73,3381652,XEL
2025-03-12,68.85,3356637,XEL
2025-03-13,68.67,2409372,XEL
2025-03-14,69.75,4170824,XEL
2025-03-17,69.96,3751097,XEL
2025-03-18,70.28,3159766,XEL
2025-03-19,70.24,3111967,XEL
2025-03-20,70.09,3039122,XEL
2025-03-21,69.11,6689303,XEL
2025-03-24,68.86,3157004,XEL
2025-03-25,67.93,3110217,XEL
2025-03-26,68.92,3540567,XEL
