Date,close,vol,symbol
1993-03-26,6.27496,2540806.3289191,CB
1993-03-29,6.1909,980999.0576152,CB
1993-03-30,6.1909,1099403.0361573,CB
1993-03-31,6.32869,929318.61388372,CB
1993-04-01,6.24453,735421.78530614,CB
1993-04-02,6.22172,696036.80837295,CB
1993-04-05,6.13747,455432.39179987,CB
1993-04-06,6.22172,199783.87175846,CB
1993-04-07,6.35902,275668.51641323,CB
1993-04-08,6.29797,678376.69121945,CB
1993-04-12,6.24453,427438.81811198,CB
1993-04-13,6.27496,1971674.5311759,CB
1993-04-14,6.24453,167994.85097081,CB
1993-04-15,6.32869,208942.95682426,CB
1993-04-16,6.35902,138419.92535712,CB
1993-04-19,6.32869,82821.53543302,CB
1993-04-20,6.16798,732673.14863614,CB
1993-04-21,6.1909,192067.44129848,CB
1993-04-22,6.16798,170476.2168928,CB
1993-04-23,6.1909,305628.14992182,CB
1993-04-26,6.00006,452816.37811466,CB
1993-04-27,6.03029,263499.59826459,CB
1993-04-28,6.00006,355739.39039785,CB
1993-04-29,6.00006,208288.95340296,CB
1993-04-30,6.24453,473881.16013787,CB
1993-05-03,6.32869,285479.58012194,CB
1993-05-04,6.4889,459750.23172532,CB
1993-05-05,6.93241,489976.12359272,CB
1993-05-06,6.79502,305103.73231773,CB
1993-05-07,6.7641,86088.51537193,CB
1993-05-10,6.7641,125990.82318482,CB
1993-05-11,6.79502,172699.42356955,CB
1993-05-12,6.79502,186831.3643713,CB
1993-05-13,6.57316,59004.067183004,CB
1993-05-14,6.57316,175579.67083517,CB
1993-05-17,6.51953,53122.085948091,CB
1993-05-18,6.51953,39776.771552456,CB
1993-05-19,6.65713,87920.939818607,CB
1993-05-20,6.60378,60581.369552023,CB
1993-05-21,6.57316,106629.89218026,CB
1993-05-24,6.57316,70911.788918816,CB
1993-05-25,6.46638,13213.703800017,CB
1993-05-26,6.32869,60837.504018879,CB
1993-05-27,6.29797,173748.25877769,CB
1993-05-28,6.24453,114611.56860987,CB
1993-06-01,6.22172,88967.750248367,CB
1993-06-02,6.16798,133319.50858234,CB
1993-06-03,6.10704,212739.41631323,CB
1993-06-04,6.0535,104797.46773359,CB
1993-06-07,5.89288,138948.39251799,CB
1993-06-08,5.75529,186961.96257771,CB
1993-06-09,5.78612,451507.35888286,CB
1993-06-10,5.75529,92106.15675925,CB
1993-06-11,5.67114,554998.84455225,CB
1993-06-14,5.70166,14522.723031814,CB
1993-06-15,5.64822,240995.19880316,CB
1993-06-16,5.6178,165506.39832443,CB
1993-06-17,5.6178,213649.5542014,CB
1993-06-18,5.67114,240603.40418389,CB
1993-06-21,5.83946,209469.39920673,CB
1993-06-22,5.97705,409379.81961483,CB
1993-06-23,6.00006,150986.71246021,CB
1993-06-24,6.0535,200305.25219495,CB
1993-06-25,6.24453,102443.66285042,CB
1993-06-28,6.27496,18052.924161959,CB
1993-06-29,6.32869,136067.13286315,CB
1993-06-30,6.4889,14263.551397367,CB
1993-07-01,6.43557,164721.79669672,CB
1993-07-02,6.43557,19627.189363387,CB
1993-07-06,6.35902,68817.155670099,CB
1993-07-07,6.22172,191016.58131193,CB
1993-07-08,6.24453,82821.53543302,CB
