Date,close,vol,symbol
2023-10-03,11.24,8262500,KLG
2023-10-04,10.8,3649109,KLG
2023-10-05,10.19,9617697,KLG
2023-10-06,10.39,6432069,KLG
2023-10-09,11.44,4370946,KLG
2023-10-10,10.78,4257113,KLG
2023-10-11,10.01,2546561,KLG
2023-10-12,10.4,2638283,KLG
2023-10-13,10.78,1645288,KLG
2023-10-16,9.9,2842315,KLG
2023-10-17,10.1,1751679,KLG
2023-10-18,9.85,1382940,KLG
2023-10-19,10.01,1022255,KLG
2023-10-20,10.14,911962,KLG
2023-10-23,10.48,1507967,KLG
2023-10-24,10.0,2173045,KLG
2023-10-25,10.28,1029075,KLG
2023-10-26,10.42,716067,KLG
2023-10-27,10.39,1425121,KLG
2023-10-30,10.37,770065,KLG
2023-10-31,10.02,1177018,KLG
2023-11-01,10.04,1375008,KLG
2023-11-02,9.97,1737419,KLG
2023-11-03,10.47,944558,KLG
2023-11-06,10.46,812800,KLG
2023-11-07,10.46,1028435,KLG
2023-11-08,10.7,1561170,KLG
2023-11-09,10.36,1044792,KLG
2023-11-10,10.58,602474,KLG
2023-11-13,10.65,1239331,KLG
2023-11-14,10.78,1390614,KLG
2023-11-15,10.76,1010313,KLG
2023-11-16,11.01,1417325,KLG
2023-11-17,11.2,1725246,KLG
2023-11-20,11.22,1766282,KLG
2023-11-21,11.85,1816667,KLG
2023-11-22,11.84,1425853,KLG
2023-11-24,12.15,557480,KLG
2023-11-27,11.52,1475400,KLG
2023-11-28,11.63,930210,KLG
2023-11-29,11.24,1376169,KLG
2023-11-30,11.2,1763198,KLG
2023-12-01,11.38,942939,KLG
2023-12-04,11.54,921383,KLG
2023-12-05,11.33,864281,KLG
2023-12-06,11.57,1196743,KLG
2023-12-07,11.65,752140,KLG
2023-12-08,11.84,743355,KLG
2023-12-11,12.05,936516,KLG
2023-12-12,12.5,1058532,KLG
2023-12-13,12.76,2040953,KLG
2023-12-14,12.74,1368088,KLG
2023-12-15,12.38,3401349,KLG
2023-12-18,12.12,1203925,KLG
2023-12-19,12.38,868938,KLG
2023-12-20,12.39,1125439,KLG
2023-12-21,13.01,1063882,KLG
2023-12-22,13.21,1076877,KLG
2023-12-26,13.12,631770,KLG
2023-12-27,13.29,866958,KLG
2023-12-28,13.14,1044334,KLG
2023-12-29,13.14,677312,KLG
2024-01-02,13.51,1058743,KLG
2024-01-03,13.55,1137335,KLG
2024-01-04,13.29,1042164,KLG
2024-01-05,13.39,809243,KLG
2024-01-08,14.17,1527627,KLG
2024-01-09,13.68,1106594,KLG
2024-01-10,13.0,1556929,KLG
2024-01-11,13.08,1196484,KLG
2024-01-12,12.95,790867,KLG
2024-01-16,13.1,822618,KLG
2024-01-17,12.83,1010033,KLG
2024-01-18,12.98,821298,KLG
2024-01-19,12.76,804991,KLG
2024-01-22,13.2,779650,KLG
2024-01-23,13.36,572202,KLG
2024-01-24,13.27,568051,KLG
2024-01-25,13.44,648338,KLG
2024-01-26,13.69,535078,KLG
2024-01-29,13.24,928351,KLG
2024-01-30,13.35,599762,KLG
2024-01-31,12.99,922817,KLG
2024-02-01,13.23,1171125,KLG
2024-02-02,13.13,1054850,KLG
2024-02-05,12.99,1082646,KLG
2024-02-06,12.92,823701,KLG
2024-02-07,12.42,1202038,KLG
2024-02-08,12.45,1197348,KLG
2024-02-09,12.43,1164088,KLG
2024-02-12,12.61,1404916,KLG
2024-02-13,13.63,3229539,KLG
2024-02-14,14.4,1808137,KLG
2024-02-15,15.03,1504248,KLG
2024-02-16,15.12,1347075,KLG
2024-02-20,14.89,1554814,KLG
2024-02-21,14.71,1341083,KLG
2024-02-22,14.6,1430192,KLG
2024-02-23,14.56,1225786,KLG
2024-02-26,14.59,939376,KLG
2024-02-27,14.68,1576666,KLG
2024-02-28,14.72,1191830,KLG
2024-02-29,14.64,1189461,KLG
2024-03-01,14.72,1033985,KLG
