Date,close,vol,symbol
1990-03-26,0.232103,515950,UNH
1990-03-27,0.248011,4891560,UNH
1990-03-28,0.239947,1951824,UNH
1990-03-29,0.239947,671939,UNH
1990-03-30,0.239947,2195804,UNH
1990-04-02,0.248011,3063729,UNH
1990-04-03,0.248011,3515691,UNH
1990-04-04,0.248011,5003558,UNH
1990-04-05,0.25596,4951562,UNH
1990-04-06,0.264098,1591860,UNH
1990-04-09,0.25596,3591677,UNH
1990-04-10,0.248011,2647765,UNH
1990-04-11,0.25596,4299618,UNH
1990-04-12,0.264098,4067639,UNH
1990-04-16,0.264098,5743490,UNH
1990-04-17,0.264098,9071196,UNH
1990-04-18,0.25596,2863747,UNH
1990-04-19,0.25596,1119898,UNH
1990-04-20,0.25596,1459874,UNH
1990-04-23,0.248011,1247891,UNH
1990-04-24,0.248011,875921,UNH
1990-04-25,0.25596,947914,UNH
1990-04-26,0.25596,1535863,UNH
1990-04-27,0.248011,2359786,UNH
1990-04-30,0.272142,15350641,UNH
1990-05-01,0.27994,13898768,UNH
1990-05-02,0.28806,4727577,UNH
1990-05-03,0.28806,6843390,UNH
1990-05-04,0.304035,14070749,UNH
1990-05-07,0.320075,46683864,UNH
1990-05-08,0.328138,19262292,UNH
1990-05-09,0.320075,15278645,UNH
1990-05-10,0.320075,14690697,UNH
1990-05-11,0.320075,12950855,UNH
1990-05-14,0.328138,7379345,UNH
1990-05-15,0.328138,9447158,UNH
1990-05-16,0.328138,12090930,UNH
1990-05-17,0.336013,15122659,UNH
1990-05-18,0.328138,14394723,UNH
1990-05-21,0.344036,10591063,UNH
1990-05-22,0.360141,36744742,UNH
1990-05-23,0.367996,27117595,UNH
1990-05-24,0.375957,14090751,UNH
1990-05-25,0.367996,16722516,UNH
1990-05-29,0.375957,10987031,UNH
1990-05-30,0.375957,14838683,UNH
1990-05-31,0.375957,13158830,UNH
1990-06-01,0.375957,18254384,UNH
1990-06-04,0.375957,11003024,UNH
1990-06-05,0.39211,21446101,UNH
1990-06-06,0.384087,15898590,UNH
1990-06-07,0.375957,11278999,UNH
1990-06-08,0.352005,14962673,UNH
1990-06-11,0.352005,5223535,UNH
1990-06-12,0.367996,5771486,UNH
1990-06-13,0.384087,14830684,UNH
1990-06-14,0.384087,3823661,UNH
1990-06-15,0.375957,4019641,UNH
1990-06-18,0.375957,4839570,UNH
1990-06-19,0.384087,5623503,UNH
1990-06-20,0.39211,15150657,UNH
1990-06-21,0.39211,15478631,UNH
1990-06-22,0.408047,28049517,UNH
1990-06-25,0.423964,23169950,UNH
1990-06-26,0.416015,14978670,UNH
1990-06-27,0.408047,5815481,UNH
1990-06-28,0.416015,8427251,UNH
1990-06-29,0.431943,2939738,UNH
1990-07-02,0.431943,4459604,UNH
1990-07-03,0.439996,4367610,UNH
1990-07-05,0.439996,4659587,UNH
1990-07-06,0.439996,2435788,UNH
1990-07-09,0.431943,1715843,UNH
1990-07-10,0.416015,4359614,UNH
1990-07-11,0.439996,9415171,UNH
1990-07-12,0.472109,12846865,UNH
1990-07-13,0.479989,19710249,UNH
1990-07-16,0.479989,6919386,UNH
1990-07-17,0.463948,4875565,UNH
1990-07-18,0.45615,4203625,UNH
1990-07-19,0.431943,12186919,UNH
1990-07-20,0.439996,8835213,UNH
1990-07-23,0.423964,7471340,UNH
1990-07-24,0.45615,15374635,UNH
1990-07-25,0.472109,14006756,UNH
1990-07-26,0.472109,1891830,UNH
1990-07-27,0.45615,5355522,UNH
1990-07-30,0.472109,3435693,UNH
1990-07-31,0.472109,8931210,UNH
1990-08-01,0.45615,5683497,UNH
1990-08-02,0.448051,4531596,UNH
1990-08-03,0.408047,20994137,UNH
1990-08-06,0.40008,8103283,UNH
1990-08-07,0.431943,19030316,UNH
1990-08-08,0.416015,43752123,UNH
1990-08-09,0.448051,7555328,UNH
1990-08-10,0.439996,3051731,UNH
1990-08-13,0.45615,7275355,UNH
1990-08-14,0.439996,7403341,UNH
1990-08-15,0.448051,3827656,UNH
1990-08-16,0.439996,5559506,UNH
